Concessionária;no da barra;Ponto de Conexão;TUST-RB (R$/kW.mês);;TUST-FR (R$/kW.mês)
;;;Ponta;Fora Ponta;Ponta;Fora Ponta
; 5493; PIRIPIRI - 69;  6,919;  6,744;  4,323;  4,323
; 5492; PIRIPIRI - 138;  6,919;  6,744;  5,486;  5,486
; 5737; PARNAIBA III - 138;  6,200;  6,065;  2,021;  2,021
; 5432; RIB.GONCALVES - 69;  5,807;  5,667;  2,576;  2,576
; 5573; S.JOAO PIAUI - 69;  5,725;  5,518;  6,437;  6,437
; 5677; TERESINA II - 69;  6,683;  6,588;  2,545;  2,545
; 5503; TERESINA - 69;  6,896;  6,817;  1,131;  1,131
; 5323; TERESINA III - 69;  6,721;  6,631;  1,687;  1,687
; 5505; TERESINA - 13,8;  6,896;  6,817;  1,392;  1,392
; 5516; B. ESPERANCA - 13,8;  6,146;  5,984;  1,940;  1,940
HIDROPAN; 1322; IJUI 2 - 69;  5,018;  5,223;  0,505;  0,505
; 1333; PANAMBI – 13,8;  4,748;  4,920;  8,142;  8,142
LIGHT;  173; ADRIANOPOLIS - 138;  6,927;  6,822;  0,596;  0,596
;  276; BRISAMAR - 138;  6,804;  6,702;  4,649;  4,649
;  183; C. PAULISTA - 138;  6,775;  6,672;  4,558;  4,558
;  178; GRAJAU - 138;  6,848;  6,758;  1,186;  1,186
;  180; JACAREPAGUA - 138;  6,887;  6,794;  1,525;  1,525
;  251; NILO PECANHA - 138;  6,724;  6,647;  0,996;  0,996
; 4325; NOVA IGUACU - 138;  6,764;  6,674;  0,108;  0,108
;  184; SANTA CRUZ - 138;  6,815;  6,714;  4,649;  4,649
;  169; SAO JOSE - 138;  6,830;  6,729;  1,067;  1,067
; 4120; ZONA OESTE - 138;  6,801;  6,700;  0,363;  0,363
RGE SUL; 1185; ALEGRETE2 - 69;  5,086;  5,351;  4,772;  4,772
; 9675; CRUZ ALTA 1 – 23;  4,748;  4,919;  6,385;  6,385
; 1301; CRUZ ALTA 1 - 69;  4,748;  4,920;  4,604;  4,604
; 1196; CAMPO BOM - 69;  5,277;  5,540;  2,203;  2,203
; 9591; CANDELARIA 2 - 69;  4,848;  5,016;  1,072;  1,072
; 1324; CANOAS 1 - 23;  5,395;  5,664;  5,323;  5,323
; 9279; CAXIAS SUL 5 - 13,8;  5,342;  5,650;  1,633;  1,633
; 1201; CAXIAS SUL 2 - 69;  5,319;  5,614;  3,056;  3,056
; 1193; CAXIAS SUL 5 - 69;  5,329;  5,629;  0,395;  0,395
; 1387; CAXIAS 6 - 69;  5,290;  5,561;  1,139;  1,139
; 9201; CAMPO BOM - 23;  5,277;  5,540;  2,805;  2,805
; 1203; CHARQUEADAS - 69;  5,609;  5,890;  0,252;  0,252
; 1257; C.INDUSTRIAL - 138;  5,341;  5,604;  0,557;  0,557
; 9207; C.INDUSTRIAL - 23;  5,339;  5,597;  1,566;  1,566
; 1207; FARROUPILHA - 69;  5,231;  5,506;  1,841;  1,841
; 1062; FOZ CHAPECO - 138;  4,306;  4,307;  1,277;  1,277
; 1205; GARIBALDI 1 - 69;  5,348;  5,655
; 9284; GRAVATAI2 - 23;  5,305;  5,537;  1,263;  1,263
; 1209; GRAVATAI2 - 69;  5,343;  5,581;  1,943;  1,943
; 1314; GRAVATAI3 - 69;  5,367;  5,601;  0,337;  0,337
; 1313; GRAVATAI3 - 230;  5,367;  5,601
; 1214; GUARITA - 69;  4,643;  4,691;  2,410;  2,410
; 1322; IJUI 2 - 69;  5,018;  5,223;  0,505;  0,505
; 1216; JACUI - 138;  4,748;  4,919;  4,604;  4,604
; 1220; JACUI - 23;  4,748;  4,919;  5,614;  5,614
; 9594; L.GRANDE - 138;  5,145;  5,459;  2,586;  2,586
; 2081; LAJEADO 2 - 69;  5,565;  5,886;  2,792;  2,792
; 9203; LIVRAMENTO 2 - 13,8;  4,386;  4,532;  4,152;  4,152
; 9204; LIVRAMENTO 2 - 69;  4,386;  4,532;  4,152;  4,152
; 1326; L.VERMELHA 2 - 138;  4,844;  4,977;  4,576;  4,576
; 1235; MACAMBARA - 69;  5,109;  5,364;  2,617;  2,617
; 2079; MISSOES - 69;  4,921;  5,125;  2,665;  2,665
; 9548; N.PETROPOLIS2 - 69;  5,199;  5,436;  2,909;  2,909
; 1226; NOVA PRATA 2 - 69;  4,918;  5,104;  3,775;  3,775
; 1266; PORTO ALEGRE9 - 69;  5,430;  5,710;  0,329;  0,329
; 1042; U.PASSO FUNDO - 138;  4,383;  4,401;  1,574;  1,574
; 2077; P.PETROQUIMIC - 69;  5,264;  5,503;  1,794;  1,794
; 1311; SANTO ANGELO 1 - 69;  4,941;  5,127;  4,604;  4,604
; 1251; SANTO ANGELO2 - 69;  4,941;  5,127;  0,573;  0,573
; 1253; SAO BORJA2 - 69;  5,096;  5,351;  3,889;  3,889
; 9209; SCHARLAU - 23;  5,375;  5,656;  3,165;  3,165
; 2090; SCHARLAU - 138;  5,354;  5,625;  0,362;  0,362
; 1309; SANTA CRUZ1 - 13,8;  5,207;  5,433;  2,674;  2,674
; 2088; SANTA CRUZ1 - 69;  5,207;  5,433;  1,194;  1,194
; 2087; SANTA MARIA 3 - 69;  4,952;  5,157;  2,029;  2,029
; 1383; SANTA MARIA 3 - 138;  4,920;  5,122;  1,114;  1,114
; 1279; SANTA MARTA – 69;  5,231;  5,400;  2,167;  2,167
; 1275; SANTA MARTA - 138;  5,231;  5,400;  1,308;  1,308
; 1282; SANTA ROSA1 – 69;  4,919;  5,081;  1,433;  1,433
; 1289; S.VICENTE SUL - 69;  5,147;  5,396;  6,591;  6,591
; 1292; TAPERA 2 - 69;  5,408;  5,618;  2,115;  2,115
; 2094; TAQUARA - 138;  5,262;  5,511;  1,380;  1,380
; 1208; TRIUNFO - 69;  5,609;  5,890;  1,257;  1,257
; 1295; URUGUAIANA5 - 69;  5,161;  5,449;  2,370;  2,370
; 1298; V.AIRES - 69;  5,578;  5,921;  0,991;  0,991
; 9837; VINHEDOS - 69;  5,203;  5,486;  1,776;  1,776
RIMA;  342; MONTESCLAROS2 - 138;  6,148;  6,010;  1,014;  1,014
SULGIPE; 5963; ITABAIANINHA - 69;  7,075;  7,234;  4,060;  4,060
