Concessionária;no da barra;Ponto de Conexão;TUST-RB (R$/kW.mês);;TUST-FR (R$/kW.mês)
;;;Ponta;Fora Ponta;Ponta;Fora Ponta
; 5944; BRUMADO II - 69;  7,383;  7,382;  0,853;  0,853
; 5947; BRUMADO II - 138;  7,383;  7,382;  0,763;  0,763
; 5703; CIC. DANTAS - 69;  6,262;  6,291;  4,627;  4,627
; 5757; CAMACARI II - 69;  6,917;  6,992;  1,260;  1,260
; 5786; CATU - 69;  7,108;  7,444;  1,522;  1,522
; 5803; COTEGIPE - 69;  7,057;  7,189;  1,048;  1,048
; 5792; CATU - 13,8;  7,108;  7,444;  1,522;  1,522
; 5872; EMBASA - 230;  7,149;  7,210
; 5974; EUNAPOLIS - 138;  9,498;  9,555;  1,705;  1,705
; 5755; FORD - 230;  7,025;  7,132
; 5904; FUNIL - 138;  8,274;  8,287;  1,596;  1,596
; 5911; FUNIL - 13,8;  8,274;  8,287;  1,596;  1,596
; 5883; G.MANGABEIRA - 69;  7,086;  7,135;  2,992;  2,992
; 6364; IBICOARA - 138;  6,755;  6,702;  1,391;  1,391
; 6171; IGAPORA II - 230;  5,860;  5,688
; 6343; IRECE - 69;  5,713;  5,477;  1,923;  1,923
; 6342; IRECE - 138;  5,713;  5,477;  2,718;  2,718
; 5790; ITABUNA 3 - 138;  9,007;  9,017;  1,933;  1,933
; 6257; ITAPARICA - 69;  5,815;  5,705;  5,976;  5,976
; 5826; JACARACANGA - 69;  6,923;  7,018;  1,271;  1,271
; 6321; JAGUARARI-SE - 230;  5,552;  5,431
; 6313; JUAZEIRO II - 69;  5,534;  5,444;  1,763;  1,763
; 6503; JUAZEIRO III - 69;  5,673;  5,552;  1,885;  1,885
; 5856; MATATU - 69;  7,373;  7,546;  0,940;  0,940
; 6255; MOXOTO - 69;  5,791;  5,674;  5,976;  5,976
; 5863; MATATU - 11,9;  7,373;  7,546;  4,722;  4,722
; 5983; NARANDIBA - 69;  7,398;  7,568;  1,200;  1,200
; 5735; OLINDINA - 13,8;  6,730;  6,903;  0,874;  0,874
; 5843; PITUACU - 69;  7,223;  7,365;  1,323;  1,323
; 5862; POÇÔES II - 138;  7,214;  7,175;  1,166;  1,166
; 5763; POLO - 69;  6,987;  7,090;  0,840;  0,840
; 6317; RIO GRANDE II - 138;  6,398;  7,028;  1,914;  1,914
; 5893; STO.A.JESUS - 69;  7,295;  7,285;  1,946;  1,946
; 6333; SR.BONFIM II - 69;  5,439;  5,265;  1,165;  1,165
; 6332; SR.BONFIM II - 138;  5,439;  5,265;  2,424;  2,424
; 5993; T.FREITAS CBA - 138;  9,659;  9,737;  0,995;  0,995
; 5873; TOMBA - 69;  7,315;  7,406;  0,773;  0,773
; 6265; ZEBU 2 - 69;  5,815;  5,705;  0,402;  0,402
; 6254; ZEBU - 13,8;  5,815;  5,705;  5,976;  5,976
COOPERA; 2749; FORQUILHINHA - 69;  5,785;  6,243;  0,803;  0,803
COOPERLUZ; 1282; SANTA ROSA1 – 69;  4,919;  5,081;  1,433;  1,433
COPEL-DIS;  879; APUCARANA - 138;  5,211;  5,299;  2,947;  2,947
; 9336; AREIA - 13,8;  4,957;  5,045;  2,168;  2,168
;  823; AREIA - 138;  4,959;  5,047;  2,168;  2,168
; 9891; ANDIRA LESTE - 138;  5,258;  5,323;  2,156;  2,156
; 2359; BATEIAS - 138;  5,649;  5,905;  0,344;  0,344
;  550; CAPIVARA - 138;  4,673;  4,549;  0,009;  0,009
;  840; CASCAVEL - 138;  4,963;  5,007;  2,017;  2,017
; 9539; CASCAVEL NORT - 138;  4,979;  5,028;  0,530;  0,530
; 9332; CAMPO ASSOBIO - 13,8;  5,876;  6,117;  1,329;  1,329
; 2354; CAMPO ASSOBIO - 138;  5,859;  6,104;  0,269;  0,269
;10033; CURITIBA CENTRO - 138 (69kV);  5,904;  6,148;  1,778;  1,778
; 9698; CURITIBA NORT - 138;  5,691;  6,042;  1,952;  1,952
; 9321; C.COMPRIDO - 13,8;  5,727;  5,944;  7,750;  7,750
; 2363; C.COMPRIDO - 69;  5,810;  6,040;  4,281;  4,281
; 9342; C.I.CURITIBA - 13,8;  5,807;  6,042;  0,604;  0,604
; 2368; C.I.CURITIBA - 69;  5,809;  6,041;  0,279;  0,279
;  860; C.MOURAO - 138;  5,085;  5,166;  1,947;  1,947
; 9320; D.S.J.PINHAIS - 69;  5,836;  6,062;  0,331;  0,331
; 9322; D.S.J.PINHAIS - 13,8;  5,822;  6,048;  3,235;  3,235
;  848; FOZ DO CHOPIM - 138;  4,622;  4,623;  0,220;  0,220
; 2447; F.IGUACUNORTE - 138;  5,981;  6,204;  0,736;  0,736
; 9334; FIGUEIRA - 13,8;  5,154;  5,249;  3,004;  3,004
; 2485; FIGUEIRA - 138;  5,153;  5,248;  3,004;  3,004
; 9338; PARIGOT SOUZA - 13,8;  5,014;  5,029;  5,041;  5,041
; 2373; PARIGOT SOUZA - 138;  5,021;  5,037;  5,041;  5,041
;  847; GUAIRA - 138;  5,253;  5,346;  1,837;  1,837
;  887; IBIPORA - 138;  5,309;  5,415;  1,260;  1,260
; 2423; JAGUARIAIVA - 138;  5,708;  5,969;  2,332;  2,332
;  890; LONDRINA COT - 138;  5,260;  5,355;  1,591;  1,591
;  869; MARINGA - 138;  5,253;  5,365;  2,003;  2,003
;  850; MEDIANEIRA - 138;  5,713;  5,891;  2,240;  2,240
;  853; PATO BRANCO - 138;  4,648;  4,661;  3,234;  3,234
; 2383; POSTO FISCAL - 138;  5,193;  5,246;  0,363;  0,363
; 9329; PONTA G NORTE - 13,8;  5,868;  6,159;  4,449;  4,449
; 9328; PONTA G NORTE - 34,5;  5,868;  6,159;  4,449;  4,449
; 9326; PONTA G SUL - 13,8;  6,139;  6,445;  3,402;  3,402
; 9325; PONTA G SUL - 34,5;  6,139;  6,445;  3,402;  3,402
;  830; PONTA G NORTE - 138;  5,850;  6,129;  1,601;  1,601
; 2437; PONTA G SUL - 138;  5,925;  6,209;  0,312;  0,312
; 2387; PILARZINHO - 69;  5,832;  6,053;  2,160;  2,160
;  855; REALEZA - 138;  4,676;  4,680;  0,387;  0,387
;  546; ROSANA - 138;  4,637;  4,510;  0,064;  0,064
; 2472; SARANDI - 138;  5,316;  5,445;  0,837;  0,837
; 2399; UMBARA - 230;  5,704;  5,926
; 9330; S.MATEUS SUL - 34,5;  5,833;  6,115;  5,043;  5,043
; 9331; S.MATEUS SUL - 13,8;  5,833;  6,115; 11,000; 11,000
; 2478; SANTA MONICA - 69;  5,818;  6,035;  0,316;  0,316
; 9535; SANTAQUITERIA - 13,8;  5,926;  6,186;  3,017;  3,017
